episode,steps,return,average_reward_per_step
1181,11,1,0.09090909090909091
1182,10,11,1.1
1183,10,11,1.1
1184,14,7,0.5
1185,11,10,0.9090909090909091
1186,15,6,0.4
1187,12,9,0.75
1188,13,-1,-0.07692307692307693
1189,11,10,0.9090909090909091
1190,13,8,0.6153846153846154
1191,10,11,1.1
1192,9,12,1.3333333333333333
1193,22,-10,-0.45454545454545453
1194,17,-5,-0.29411764705882354
1195,12,9,0.75
1196,19,2,0.10526315789473684
1197,12,0,0.0
1198,13,8,0.6153846153846154
1199,18,-6,-0.3333333333333333
1200,18,-6,-0.3333333333333333
1201,19,2,0.10526315789473684
1202,21,-9,-0.42857142857142855
1203,15,6,0.4
1204,18,-6,-0.3333333333333333
1205,14,7,0.5
1206,13,8,0.6153846153846154
1207,15,6,0.4
1208,19,2,0.10526315789473684
1209,20,-8,-0.4
1210,11,10,0.9090909090909091
1211,11,10,0.9090909090909091
1212,14,7,0.5
1213,16,5,0.3125
1214,17,4,0.23529411764705882
1215,14,7,0.5
1216,25,-22,-0.88
1217,9,12,1.3333333333333333
1218,13,8,0.6153846153846154
1219,12,9,0.75
1220,15,-3,-0.2
1221,14,-2,-0.14285714285714285
1222,14,-11,-0.7857142857142857
1223,16,-4,-0.25
1224,10,2,0.2
1225,13,-1,-0.07692307692307693
1226,14,-2,-0.14285714285714285
1227,8,4,0.5
1228,15,-3,-0.2
1229,13,8,0.6153846153846154
1230,13,-1,-0.07692307692307693
1231,12,9,0.75
1232,16,5,0.3125
1233,18,3,0.16666666666666666
1234,10,11,1.1
1235,11,10,0.9090909090909091
1236,10,11,1.1
1237,22,-1,-0.045454545454545456
1238,11,10,0.9090909090909091
1239,20,1,0.05
1240,13,8,0.6153846153846154
1241,16,5,0.3125
1242,11,10,0.9090909090909091
1243,20,-8,-0.4
1244,12,-9,-0.75
1245,12,9,0.75
1246,12,9,0.75
1247,11,10,0.9090909090909091
1248,14,7,0.5
1249,17,-5,-0.29411764705882354
1250,18,-6,-0.3333333333333333
1251,18,-6,-0.3333333333333333
1252,13,-1,-0.07692307692307693
1253,17,4,0.23529411764705882
1254,14,7,0.5
1255,20,1,0.05
1256,11,10,0.9090909090909091
1257,16,5,0.3125
1258,15,6,0.4
1259,13,8,0.6153846153846154
1260,16,5,0.3125
1261,12,9,0.75
1262,14,7,0.5
1263,13,8,0.6153846153846154
1264,10,11,1.1
1265,11,10,0.9090909090909091
1266,20,1,0.05
1267,13,8,0.6153846153846154
1268,12,0,0.0
1269,13,8,0.6153846153846154
1270,14,-11,-0.7857142857142857
1271,17,-5,-0.29411764705882354
1272,18,3,0.16666666666666666
1273,8,4,0.5
1274,17,4,0.23529411764705882
1275,16,5,0.3125
1276,16,5,0.3125
1277,8,13,1.625
1278,15,-3,-0.2
1279,19,2,0.10526315789473684
1280,10,11,1.1
1281,16,-4,-0.25
1282,9,12,1.3333333333333333
1283,15,6,0.4
1284,15,-3,-0.2
1285,19,-16,-0.8421052631578947
1286,14,7,0.5
1287,12,9,0.75
1288,15,-12,-0.8
1289,10,11,1.1
1290,18,3,0.16666666666666666
1291,15,-21,-1.4
1292,16,5,0.3125
1293,11,10,0.9090909090909091
1294,21,0,0.0
1295,15,6,0.4
1296,16,-4,-0.25
1297,22,-1,-0.045454545454545456
1298,16,5,0.3125
1299,15,-21,-1.4
1300,17,4,0.23529411764705882
1301,18,3,0.16666666666666666
1302,13,8,0.6153846153846154
1303,11,10,0.9090909090909091
1304,16,5,0.3125
1305,15,6,0.4
1306,21,-18,-0.8571428571428571
1307,14,7,0.5
1308,25,-31,-1.24
1309,10,11,1.1
1310,19,-7,-0.3684210526315789
1311,17,4,0.23529411764705882
1312,17,-5,-0.29411764705882354
1313,8,13,1.625
1314,7,14,2.0
1315,16,5,0.3125
1316,15,6,0.4
1317,14,7,0.5
1318,17,4,0.23529411764705882
1319,14,7,0.5
1320,16,5,0.3125
1321,12,9,0.75
1322,12,0,0.0
1323,16,-4,-0.25
1324,12,9,0.75
1325,10,11,1.1
1326,10,11,1.1
1327,15,6,0.4
1328,10,2,0.2
1329,23,-11,-0.4782608695652174
1330,14,7,0.5
1331,16,5,0.3125
1332,16,-4,-0.25
1333,11,10,0.9090909090909091
1334,14,7,0.5
